[17:07:23.280] : [CorpCard2Json] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171220_10962289C06.001], info_cd=[C06], log_dir=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\log]
[17:07:23.686] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.688] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.689] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.691] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.693] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.694] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.696] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.698] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.699] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.701] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.703] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.704] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.705] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.707] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.709] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.711] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.712] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.714] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.715] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.717] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.719] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.721] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.723] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.724] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.726] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.727] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.729] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.731] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.733] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.735] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.736] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.737] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.739] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.741] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.742] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.744] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.746] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.747] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.749] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.750] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.752] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.754] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
