[15:40:49.472] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.002], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[16:04:52.970] : curr tm=[2017/12/07 16:04:52]
[16:04:52.985] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[281], ApprNo=[73554604]
[16:04:52.985] : curr tm=[2017/12/07 16:04:52]
[16:04:52.985] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[282], ApprNo=[61064853]
[16:04:52.985] : curr tm=[2017/12/07 16:04:52]
[16:04:52.985] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[283], ApprNo=[73287979]
[16:04:53.001] : curr tm=[2017/12/07 16:04:52]
[16:04:53.001] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[284], ApprNo=[71704335]
[16:04:53.001] : curr tm=[2017/12/07 16:04:53]
[16:04:53.017] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[285], ApprNo=[57392685]
[16:04:53.017] : curr tm=[2017/12/07 16:04:53]
[16:04:53.032] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[286], ApprNo=[57358033]
[16:04:53.032] : curr tm=[2017/12/07 16:04:53]
[16:04:53.032] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[287], ApprNo=[74098950]
[16:04:53.032] : curr tm=[2017/12/07 16:04:53]
[16:04:53.048] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[288], ApprNo=[77401340]
[16:04:53.048] : curr tm=[2017/12/07 16:04:53]
[16:04:53.048] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[289], ApprNo=[58263301]
[16:04:53.048] : curr tm=[2017/12/07 16:04:53]
[16:04:53.048] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[290], ApprNo=[58239372]
[16:04:53.048] : curr tm=[2017/12/07 16:04:53]
[16:04:53.079] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[291], ApprNo=[71122803]
[16:04:53.079] : curr tm=[2017/12/07 16:04:53]
[16:04:53.079] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[292], ApprNo=[61103335]
[16:04:53.079] : curr tm=[2017/12/07 16:04:53]
[16:04:53.079] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[293], ApprNo=[60698828]
[16:04:53.079] : curr tm=[2017/12/07 16:04:53]
[16:04:53.079] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[294], ApprNo=[57953815]
[16:04:53.095] : curr tm=[2017/12/07 16:04:53]
[16:04:53.095] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[295], ApprNo=[71109443]
[16:04:53.095] : curr tm=[2017/12/07 16:04:53]
[16:04:53.095] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[296], ApprNo=[71601007]
[16:04:53.095] : curr tm=[2017/12/07 16:04:53]
[16:04:53.095] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[297], ApprNo=[71263638]
[16:04:53.110] : curr tm=[2017/12/07 16:04:53]
[16:04:53.110] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[298], ApprNo=[73975209]
