[15:45:31.498] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171204_10962533C04.001], info_cd=[C04], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:45:33.389] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002006], ApprNo=[1428103111]
[15:45:33.404] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002007], ApprNo=[1428103111]
[15:45:33.420] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002008], ApprNo=[1428103111]
[15:45:33.436] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002009], ApprNo=[1428103111]
[15:45:33.451] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002010], ApprNo=[1428103111]
[15:45:33.467] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002011], ApprNo=[1428103111]
[15:45:33.483] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002012], ApprNo=[1428103111]
[15:45:33.498] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002013], ApprNo=[1428103111]
[15:45:33.514] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002014], ApprNo=[1428103111]
[15:45:33.529] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002015], ApprNo=[1428103111]
[15:45:33.545] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002016], ApprNo=[1428103111]
[15:45:33.561] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002017], ApprNo=[1428103111]
